index,Address,State,City,Postal Code,Index,Location,Latitude,Longitude
219,1100 S 16th Street,ID,Payette,83661,220,"1100 S 16th Street Payette, ID",44.063558,-116.923538
220,572 Pole Line Rd,ID,Twin Falls,83301,221,"572 Pole Line Rd Twin Falls, ID",42.591577,-114.467432
221,326 Blue Lakes Blvd N,ID,Twin Falls,83301,222,"326 Blue Lakes Blvd N Twin Falls, ID",42.567608,-114.459871
222,16040 Idaho Center Blvd.,ID,Nampa,83687,223,"16040 Idaho Center Blvd. Nampa, ID",43.606408,-116.512863
223,624 12th Avenue Road,ID,Nampa,83686,224,"624 12th Avenue Road Nampa, ID",43.562567,-116.572643
224,5103 Cleveland Blvd.,ID,Caldwell,83605,225,"5103 Cleveland Blvd. Caldwell, ID",43.633573,-116.644
225,373 S. Caldwell Blvd.,ID,Nampa,83651,226,"373 S. Caldwell Blvd. Nampa, ID",43.591574,-116.583251
226,807 Specht Ave.,ID,Caldwell,83607,227,"807 Specht Ave. Caldwell, ID",43.662251,-116.662614
227,16377 N Marketplace Blvd,ID,Nampa,83651,228,"16377 N Marketplace Blvd Nampa, ID",43.61047,-116.59134
228,5177 W. Chinden Blvd.,ID,Garden City,83714,229,"5177 W. Chinden Blvd. Garden City, ID",43.644239,-116.271481
229,2272 S. Vista Ave.,ID,Boise,83705,230,"2272 S. Vista Ave. Boise, ID",43.581821,-116.213297
230,2630 S. Broadway Ave.,ID,Boise,83706,231,"2630 S. Broadway Ave. Boise, ID",43.5782,-116.193283
231,7401 W. Victory Rd.,ID,Boise,83709,232,"7401 W. Victory Rd. Boise, ID",43.575393,-116.274581
